Id,Cuit,Gln,Name
1,1000000,1000000,Sin asignar
2,30500846301,7790440000007,ABBOTT LABORATORIES ARGENTINA S.A.
3,30712399623,7798258120009,ABBVIE SA
4,20139553854,9990440430004,ABELLO ARGENTINA S.A.C.I.
5,30680235135,9990377780005,ADOX S.A.
6,30516987886,7792277000007,AEROFARMA LABORATORIOS SAIC
7,33700499419,9990377790004,AHIMSA S.A.
8,30500852131,7798239160017,AIR LIQUIDE ARGENTINA S A
9,30516842667,7792086000007,ALCON LABORATORIOS ARGENTINA S A
10,30651772377,9990436190004,ALERGO PHARMA SRL
11,30505142256,9990493660007,ALET LABORATORIOS S.A.I.C.I. Y E.
12,33503888799,7795316000006,ALLERGAN PRODUCTOS FARMACEUTICOS S.A.
13,30685919776,7798193460000,AMARIN TECHNOLOGIES S.A.
14,30708028610,9990381580004,ANDINA REAL DE ARGENTINA SCS
15,30711364842,7798260150001,ANDRATX PHARMA SA
16,30618752271,9990377390006,ANDROQUIMICA S.A.
17,30708136952,7798112990014,APOTEX S.A.
18,30607441401,7798162800004,ARCANO S.A.
19,30617835602,7792219000003,ASOFARMA SOC ANONIMA INDUSTRIAL Y COMERCIAL
20,30641873523,9990475940004,ASSISTANCE S.R.L.
21,30500772324,7795302000003,ASTRAZENECA SOCIEDAD ANONIMA
22,33703936429,7798097890002,ATLAS FARMACEUTICA S A
23,30627294480,7796035000001,AVC FARMA S.A.
24,30602507005,9990381000007,AWER SA
25,30690747878,7798166530006,B BRAUN MEDICAL S A
26,30521092501,7795338000008,BALIARDA SOCIEDAD ANONIMA
27,23929136624,9990440630008,BARNES HIND. FARMACEUTICA S.A.
28,30701777308,7798069050007,BAUSCH & LOMB ARGENTINA S R L
29,30539203599,7797545000000,BAXTER ARGENTINA SOCIEDAD ANONIMA
30,30503811061,7795320000009,BAYER SOCIEDAD ANONIMA
31,30616253650,9990377600006,BEIERSDORF S.A.
32,30503704850,9990385190001,BENITOL SACI
33,33617960279,9990474640004,BILLIET Y CIA. S.R.L.
34,30647382777,7798074990008,BIO CONTROL SA
35,30714391859,9990475740000,BIOCINE
36,30550853791,9990460430008,BIOCROM S.A.
37,30707256849,7798087800004,BIOFACTOR S.A.
38,30693147758,7798173810009,BIOGAM ARGENTINA S.A.
39,30709724912,7798144380005,BIOGEN (ARGENTINA) S R L
40,30711915369,9990432490009,BIOMEC S.R.L.
41,30707498338,9990440300000,BIOPHARM S.A.
42,30649364040,7798021440006,BIOPROFARMA BAGO SA
43,30598117094,7795355000005,BIOSIDUS SOCIEDAD ANONIMA
44,30708412038,7794207000002,BIOSINTEX S.A.
45,30709594512,7798163340004,BIOTECHNO PHARMA SA
46,30611306632,7796363000001,BIOTENK S A
47,30622531034,7798011830008,BIOTOSCANA FARMA S.A.
48,30559823666,7798025840000,BLIPACK SA
49,30535621159,7795304000001,BOEHRINGER INGELHEIM S A
50,30711366306,9990445840006,BRIA PHARMA SA
51,30538058056,7795305000000,BRISTOL MYERS SQUIBB ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA
52,30657105607,9990377610005,BROBEL SRL
53,30708969245,9990475680009,CACHAMAI S.A.C.I.F. E I.
54,30708284250,7798122690003,CAIF COMPANIA ARGENTINA DE INVESTIGACIONES FARMACEUTICAS S.A.
55,30538058749,7795339000007,CASA RUBIO S A
56,30534582761,7791845000005,CATALENT ARGENTINA S.A.I.C.
57,30707204741,7798147400007,CATALYSIS ARGENTINA S.A.
58,30712004130,7798311370006,CELNOVA ARGENTINA SA
59,30695455220,9990399500001,CENTRO DE MEZCLAS INTRAVENOSAS S.A.
60,30699645059,7798066760008,CEVALLOS SALUD S.R.L.
