Id,Name,Description,Observation,Unity,Created at,Updated at,supply_area_id
2,ISOXUPRINA AMPOLLA, - , - ,Ampolla,16 de Agosto de 2018 13:52,16 de Agosto de 2018 13:52,1
8,Placa Digital Fuji 26 x 36 - Caja x 150,"Cajas conteniendo 150 placas radiográficas de 26 cm x 36 cm, tipo DI-HL para uso en reveladora Fuji de tomografía, con vencimiento no menor de un año a partir de su entrega, con identificación de lote y vencimiento en cada envase.-", - ,Caja, - ,15 de Agosto de 2014 06:51,733
9,Placa Digital Fuji 35 x 43 - Caja x 100,"Cajas conteniendo 100 placas radiográficas de 35 cm x 43 cm, tipo DI-HL para uso en reveladora Fuji de tomografía, con vencimiento no menor de un año a partir de su entrega, con identificación de lote y vencimiento en cada envase.", - ,Caja, - ,15 de Agosto de 2014 06:52,733
12,Aguja sutura acero G Nº 211 calibre 10 paquete x 12,Paquete de 12 unidades de agujas de sutura acero inoxidable con perfil triangular circular calibre 10 tipo G Nº 211, - ,Sobre, - ,3 de Junio de 2013 11:17,485
17,Aguja de sutura de acero recta Keith Nº 209 calibre 3,Paquete de 12 unidades de agujas de sutura acero inoxidable recta calibre 3 tipo Keith Nº 209, - ,Paquete, - ,18 de Febrero de 2011 09:46,485
18,Aguja sutura acero B nº 203 calibre 10 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular B nº 203 calibre 10., - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
19,Aguja sutura acero b nº 203 calibre 12 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular B Nº 203 calibre 12., - ,Paquete, - ,18 de Febrero de 2011 09:46,485
20,Aguja sutura acero B Nº 203 calibre 16 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular B Nº 203 calibre 16., - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
22,Aguja sutura acero Keith Nº 209 calibre 3 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil redondo recta tipo Keith Nº 209 calibre 3., - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
23,Aguja sutura acero B Nº 203 calibre 12 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular B nº 203 calibre 12, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
24,Aguja sutura acero B Nº 203 calibre 14 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular B nº 203 calibre  14, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
25,Aguja sutura acero B Nº 203 calibre 8 paquete x 12,Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular B nº 203 calibre 8, - ,Sobre, - ,20 de Noviembre de 2014 09:35,742
26,Aguja sutura acero G Nº 211 calibre 14 paquete x 12,"Paquete por 12 unidades de agujas sutura acero inoxidable perfil triangular circular G Nº 211 calibre 14.
", - ,Sobre, - ,21 de Agosto de 2015 06:42,742
